name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Kevin Kampl,34,Slovenia,RB Leipzig,Midfielder - Central Midfield,178,67,Right,428,40,30649,47,,,75,1,583,50.0,91.9,23.08,,60.0,8,7,3.5,5,16
Miha Zajc,30,Slovenia,Toulouse,Midfielder - Central Midfield,180,76,Right,368,58,23169,27,,,47,1,,0.0,83.72,0.0,,0.0,1,1,2.0,3,4
Petar Stojanovic,29,Slovenia,Salernitana,Defender - Right Back,178,72,Both,373,11,29510,,313,149,122,7,,,33.33,,,0.0,0,0,1.3,15,0
Sandi Lovric,26,Slovenia,Udinese,Midfielder - Central Midfield,180,70,Right,320,29,21802,39,,,56,4,738,36.36,81.33,10.0,738,38.46,13,8,8.0,2,1
Hee Chan Hwang,28,South Korea,Wolverhampton Wanderers,Forward - Centre Forward,177,77,Right,332,87,19254,46,,,36,0,,,81.82,66.67,,16.67,1,1,25.0,8,18
Heung Min Son,32,South Korea,Tottenham Hotspur,Forward - Left Wing,184,78,Both,628,230,44627,102,,,36,4,243,66.67,85.81,29.41,182,43.75,5,1,45.0,3,20
Hyeon seok Hong,25,South Korea,Mainz 05,Midfielder - Central Midfield,177,69,Left,243,24,16030,32,,,12,0,,,83.47,33.33,,50.0,4,1,7.0,0,1
Jae Sung Lee,32,South Korea,Mainz 05,Midfielder - Attacking Midfield,180,70,,413,75,32038,59,,,35,0,279,44.44,79.7,0.0,,50.0,15,9,2.5,7,5
Lee Kang in,23,South Korea,PSG,Midfielder - Attacking Midfield,173,68,Left,247,33,13939,27,,,37,3,114,43.75,93.22,31.25,681,53.33,12,1,25.0,1,13
Min Jae Kim,28,South Korea,Bayern München,Defender - Centre Back,190,86,,300,10,25271,,250,113,45,2,158,100.0,92.54,,,100.0,13,15,45.0,4,5
Min Su Kim,18,South Korea,Girona FC,Forward,177,,Right,7,1,301,1,,,1,0,,,,,,,,,,,0
Woo Yeong Jeong,25,South Korea,Union Berlin,Midfielder - Secondary Striker,179,72,Right,209,40,10239,14,,,11,0,511,40.0,82.23,31.25,,61.54,3,5,3.5,8,3
Aaron Martin,27,Spain,Genoa,Defender - Left Back,180,72,Left,292,7,23391,,348,80,51,2,,50.0,77.78,32.26,1010,44.44,25,5,5.0,3,8
Abde Ezzalzouli,22,Spain,Real Betis,Midfielder,177,72,,148,27,8417,12,,,18,2,1004,40.74,74.38,4.76,,56.82,13,5,12.0,1,8
Abdon Prats,31,Spain,RCD Mallorca,Forward - Centre Forward,181,81,Left,450,115,22905,11,,,60,3,172,50.0,67.74,,,0.0,1,0,1.8,2,4
Abel Bretones Cruz,24,Spain,CA Osasuna,Midfielder,,,,107,3,7471,7,,,20,0,411,,,,,,,,3.0,,0
Abel Ruiz,24,Spain,Girona FC,Forward - Centre Forward,180,75,Right,303,55,17740,22,,,25,1,332,50.0,91.3,0.0,,33.33,2,1,12.0,12,0
Adam Aznou Ben Cheikh,18,Spain,Bayern München II,Midfielder,,,,16,0,1019,1,,,4,0,,,,,,,,,,0,0
Adama Boiro Boiro,22,Spain,Athletic Club Bilbao,Forward,,,,11,0,646,0,,,1,0,,,,,,,,,1.5,,0
Adama Traore,28,Spain,Fulham,Forward - Right Wing,178,72,Right,407,34,22875,41,,,42,3,741,63.64,82.21,21.62,247,60.0,6,1,9.0,6,24
Adria Altimira,23,Spain,Leganés,Defender - Right Back,170,62,Right,108,1,7538,,102,31,17,1,,0.0,83.54,0.0,,54.55,14,10,2.0,0,2
Adria Pedrosa,26,Spain,Sevilla FC,Defender - Left Back,172,69,Left,198,13,14108,,160,65,34,1,,25.0,78.51,20.59,947,53.85,27,9,6.0,1,11
Adrian del Castillo,37,Spain,Real Betis,Goalkeeper,190,80,Right,644,61,44081,,590,220,34,3,,,,,,,,,0.6,8,5
Adrian Embarba,32,Spain,Rayo Vallecano,Forward - Right Wing,173,66,Right,368,51,25191,66,,,56,2,,44.44,72.07,20.63,598,41.18,12,4,1.8,2,12
Adrian Hernandez Hernandez,,Spain,Deportivo Alavés,Defender,190,,,9,0,672,,8,2,1,0,,,,,,,,,,,0
Aihen Munoz,27,Spain,Real Sociedad,Defender - Left Back,175,72,Left,186,1,13331,,130,82,27,1,,,77.11,14.29,,33.33,1,3,8.0,1,11
Aitor Paredes,24,Spain,Athletic Club Bilbao,Defender - Centre Back,185,76,Right,162,8,13065,,141,51,37,4,95,33.33,86.5,,,0.0,3,5,22.0,1,8
Aitor Ruibal,28,Spain,Real Betis,Defender - Right Back,176,74,Right,281,36,17486,,217,80,59,2,,40.0,83.89,30.0,559,77.78,10,5,3.5,0,12
Alberto Mari,23,Spain,Real Zaragoza,Forward,,,,78,13,3170,1,,,5,1,,,50.0,,,0.0,0,0,1.5,0,2
Alberto Moleiro,21,Spain,UD Las Palmas,Midfielder,,,,132,12,8256,13,,,10,0,262,60.87,85.89,22.22,,41.38,12,4,20.0,0,3
Alberto Moreno,32,Spain,Como,Defender - Left Back,171,65,Left,394,20,27443,,357,111,78,5,,57.14,85.6,29.63,,33.33,16,9,1.8,5,28
Alberto Risco,19,Spain,Getafe CF,Midfielder,,,,9,0,200,0,,,0,0,,,,,,,,,,,0
Alejandro Balde,21,Spain,FC Barcelona,Defender - Left Back,175,69,,114,3,7635,,80,47,9,0,,25.0,90.34,16.0,454,50.0,8,5,40.0,6,5
Alejandro Catena,30,Spain,CA Osasuna,Defender - Centre Back,194,82,Right,297,15,25663,,321,84,89,5,,20.0,77.57,0.0,,100.0,17,9,4.0,0,18
Alejandro Frances Torrijo,22,Spain,Girona FC,Defender - Centre Back,180,70,Right,143,4,11875,,120,49,31,2,,0.0,87.22,16.67,,40.0,19,10,5.0,0,9
Alejandro Jose Munoz Miguel,30,Spain,UD Las Palmas,Defender - Left Back,185,74,Left,324,19,25342,,258,119,80,2,62,71.43,84.04,46.67,,16.67,26,15,1.2,0,14
Alex Baena,23,Spain,Villarreal,Forward - Left Wing,174,,Right,210,30,13790,38,,,65,3,464,35.71,75.08,30.3,186,35.71,4,9,50.0,1,21
Alex Berenguer,29,Spain,Athletic Club Bilbao,Forward - Left Wing,175,70,Right,366,45,20739,37,,,48,2,361,37.5,78.6,13.73,180,47.37,7,4,12.0,1,14
Alex Grimaldo,29,Spain,Bayer Leverkusen,Defender - Left Back,171,67,Left,465,48,38885,,425,180,53,1,60,53.85,86.42,40.74,900,40.91,11,9,45.0,13,1
Alex Moreno,31,Spain,Nottingham Forest,Defender - Left Back,179,68,Left,408,24,28979,20,,,43,2,,0.0,75.69,20.0,692,55.56,16,10,13.0,2,15
Alex Padilla Perez,21,Spain,Athletic Club Bilbao,Goalkeeper,,,,57,0,4999,,41,27,3,0,,,49.52,,,0.0,0,0,2.0,0,0
Alex Remiro,29,Spain,Real Sociedad,Goalkeeper - Goalkeeper,191,79,Right,339,0,30348,,303,132,14,2,,,75.38,,,0.0,0,0,25.0,2,6
Alex Ujia Piriz,25,Spain,Getafe CF,Defender - Right Back,178,75,Right,177,5,10626,,120,57,28,2,,25.0,69.73,14.29,917,36.73,17,4,4.0,0,5
Alvaro Aguado,28,Spain,RCD Espanyol,Midfielder - Central Midfield,175,66,Right,229,14,13449,12,,,24,1,,0.0,79.86,44.44,,75.0,4,2,2.8,0,5
Alvaro Djalo,25,Spain,Athletic Club Bilbao,Forward - Left Wing,175,,,109,26,5038,10,,,19,2,403,20.0,71.93,33.33,,42.11,2,1,15.0,0,1
Alvaro Fernandez,21,Spain,Benfica,Defender - Left Back,186,72,,148,10,10566,,157,37,30,2,164,40.0,83.76,31.03,818,64.71,18,10,8.0,0,0
Alvaro Garcia,32,Spain,Rayo Vallecano,Forward - Left Wing,167,61,Left,446,68,31310,29,,,61,1,727,16.67,68.72,36.36,,60.0,15,12,3.0,0,17
Alvaro Morata,32,Spain,AC Milan,Forward - Centre Forward,189,85,Both,659,240,38430,62,,,121,7,267,50.0,81.48,14.29,,60.0,5,5,16.0,23,24
Alvaro Odriozola,28,Spain,Real Sociedad,Defender - Right Back,176,66,Right,254,9,17565,,245,78,32,3,,,69.57,100.0,,0.0,1,0,1.5,8,15
Alvaro Tejero Sacristan,28,Spain,RCD Espanyol,Defender - Right Back,174,69,Right,331,13,25728,,302,108,60,2,43,28.57,79.5,32.79,343,22.22,4,4,2.0,9,8
Ander Barrenetxea,22,Spain,Real Sociedad,Forward - Left Wing,175,75,Right,189,21,8264,12,,,21,0,,20.0,74.53,30.77,497,35.0,10,5,20.0,2,18
Ander Guevara,27,Spain,Deportivo Alavés,Midfielder - Central Midfield,180,73,Right,227,4,15909,3,,,41,1,,0.0,78.0,0.0,853,50.0,13,6,5.0,1,7
Ander Herrera,35,Spain,Athletic Club Bilbao,Midfielder - Central Midfield,182,70,Right,534,40,34673,56,,,135,8,,66.67,90.96,0.0,,33.33,8,2,2.0,15,47
Angel Fortuno Vinas,22,Spain,Espanyol II,Goalkeeper,183,77,Right,56,1,4994,,67,14,2,0,80,,,,,,,,,1,0
Antonio Blanco,24,Spain,Deportivo Alavés,Midfielder - Defensive Midfield,176,68,Right,147,5,10905,3,,,45,2,,16.67,79.63,42.86,858,66.67,19,15,7.5,4,8
Antonio Raillo,33,Spain,RCD Mallorca,Defender - Centre Back,187,80,Right,368,23,31698,,349,130,124,14,155,27.27,85.51,0.0,,100.0,10,14,2.0,2,25
Antonio Sanchez,27,Spain,RCD Mallorca,Midfielder - Central Midfield,179,78,Right,232,12,13635,3,,,36,1,,,,,,,,,2.5,,0
Antonio Sivera,28,Spain,Deportivo Alavés,Goalkeeper - Goalkeeper,184,75,Right,189,0,16709,,195,61,22,0,,,52.97,,,0.0,1,0,6.0,2,4
Antoniu Roca Vives,22,Spain,RCD Espanyol,Forward,,,Right,51,3,2488,0,,,13,1,,0.0,35.71,0.0,,100.0,3,1,,0,0
Anuar Mohamed Tuhami,29,Spain,Real Valladolid,Midfielder - Central Midfield,173,69,,279,15,16950,6,,,66,0,384,66.67,64.29,0.0,,0.0,8,4,0.9,0,8
Aritz Aranbarri,26,Spain,SD Eibar,Defender - Centre Back,186,76,Right,127,5,9806,,106,42,21,1,,,74.24,,,0.0,1,3,0.5,1,6
Aritz Elustondo,30,Spain,Real Sociedad,Defender - Centre Back,182,71,Right,324,18,24152,,278,127,65,5,,0.0,86.34,0.0,,0.0,4,2,5.0,1,31
Arnau Martinez,21,Spain,Girona FC,Defender - Right Back,182,75,,147,9,11425,,139,42,27,1,82,50.0,89.44,12.5,816,62.5,18,3,10.0,0,10
Asier Villalibre,27,Spain,Deportivo Alavés,Forward - Centre Forward,184,88,Left,296,68,14849,9,,,15,0,211,50.0,71.79,,,0.0,0,1,2.5,1,9
Ayoze Perez,31,Spain,Villarreal,Forward - Secondary Striker,178,72,Right,432,106,27438,34,,,35,1,74,46.67,82.88,60.0,,56.25,6,2,10.0,4,14
Benat Prados,23,Spain,Athletic Club Bilbao,Midfielder - Central Midfield,180,74,,167,7,11842,2,,,39,2,647,75.0,82.39,25.0,,33.33,12,14,15.0,0,5
Benito Ramirez del Toro,29,Spain,UD Las Palmas,Midfielder - Left Wing,175,70,Left,227,14,12411,11,,,27,1,,0.0,86.52,28.57,,0.0,3,1,0.6,0,6
Borja Iglesias,31,Spain,Celta de Vigo,Forward - Centre Forward,187,86,Right,443,177,30480,20,,,58,3,177,72.73,79.64,0.0,,50.0,5,3,5.0,3,15
Borja Mayoral,27,Spain,Getafe CF,Forward - Centre Forward,182,74,Right,344,116,19955,18,,,21,0,125,66.67,65.62,0.0,,100.0,1,0,15.0,7,2
Brahim Diaz,25,Spain,Real Madrid,Midfielder - Attacking Midfield,170,68,,281,62,15162,43,,,16,0,216,100.0,86.11,0.0,108,57.14,6,0,40.0,6,2
Brais Mendez,27,Spain,Real Sociedad,Midfielder - Attacking Midfield,184,76,Left,339,50,22648,37,,,65,2,693,38.46,85.5,18.75,693,16.67,7,2,40.0,0,12
Brian Olivan,30,Spain,RCD Espanyol,Defender - Left Back,175,73,Left,299,8,24021,,284,98,70,2,,100.0,74.17,18.75,375,0.0,6,3,2.5,0,11
Bryan Gil,23,Spain,Girona FC,Forward - Left Wing,175,60,Left,210,18,10905,19,,,36,1,386,50.0,90.8,23.08,257,51.28,16,6,14.0,3,11
Bryan Zaragoza,23,Spain,CA Osasuna,Midfielder - Left Wing,164,67,Right,88,15,4455,7,,,15,0,984,42.86,67.04,35.0,197,45.9,9,0,12.0,0,3
Carles Alena,26,Spain,Getafe CF,Midfielder - Central Midfield,180,73,Left,299,34,18352,15,,,65,2,,33.33,81.33,20.0,,75.0,6,0,3.0,12,16
Carles Perez,26,Spain,Getafe CF,Forward - Right Wing,173,75,Left,242,41,13382,18,,,18,0,,27.27,72.36,30.0,,42.86,22,5,3.0,8,6
Carlos Dominguez,23,Spain,Celta de Vigo,Defender,187,81,Left,76,0,5532,,72,24,10,0,,50.0,88.4,,,0.0,8,3,3.0,0,5
Carlos Martin,22,Spain,Deportivo Alavés,Forward,175,70,Right,126,47,8730,4,,,18,0,374,60.0,62.5,16.67,,28.57,6,0,4.0,0,0
Carlos Soler,27,Spain,West Ham United,Midfielder - Central Midfield,180,76,,377,56,25387,40,,,56,2,,66.67,88.66,20.0,,33.33,3,2,20.0,6,11
Carlos Vicente Robles,25,Spain,Deportivo Alavés,Forward,,,Right,129,23,9683,8,,,8,0,574,66.67,72.35,36.84,,33.33,12,4,8.0,0,1
Cesar Azpilicueta,35,Spain,Atlético Madrid,Defender - Right Back,178,76,Right,714,19,57884,,625,271,87,3,,50.0,88.13,50.0,,0.0,8,1,2.0,13,12
Cesar Tarrega,22,Spain,Valencia CF,Defender,193,81,,69,6,5599,,44,36,21,1,82,25.0,77.07,,,100.0,10,4,4.0,0,2
Cristhian Mosquera,20,Spain,Valencia CF,Defender,188,81,Right,68,0,5382,,67,21,6,0,,33.33,89.68,,,50.0,8,12,30.0,0,2
Cristian Portugues,32,Spain,Girona FC,Forward - Right Wing,167,70,Right,521,71,36137,34,,,105,3,,,87.23,0.0,161,50.0,3,0,3.5,2,13
Damian Rodriguez Sousa,21,Spain,Celta de Vigo,Defender,,,Left,66,4,4524,,62,15,14,0,,,90.26,25.0,,0.0,8,4,3.0,0,0
Dani Ceballos,28,Spain,Real Madrid,Midfielder - Central Midfield,179,70,,365,23,19894,31,,,57,2,,,100.0,,,66.67,3,0,4.0,12,18
Dani Parejo,35,Spain,Villarreal,Midfielder - Central Midfield,182,74,Right,677,89,52393,92,,,154,5,470,75.0,90.84,50.0,,100.0,15,5,2.5,4,27
Dani Rodriguez,36,Spain,RCD Mallorca,Midfielder - Attacking Midfield,178,71,Right,518,59,39715,34,,,115,6,252,57.14,77.0,36.59,252,63.64,17,3,1.0,0,13
Dani Vivian,25,Spain,Athletic Club Bilbao,Defender - Centre Back,184,78,Right,205,11,17000,,165,72,46,2,136,37.5,88.12,0.0,,50.0,13,12,30.0,1,11
Daniel Cardenas,27,Spain,Rayo Vallecano,Goalkeeper - Goalkeeper,186,80,Right,121,0,10833,,122,45,11,0,,,49.44,,,0.0,0,0,1.8,0,1
Daniel Carvajal,32,Spain,Real Madrid,Defender - Right Back,173,73,Right,563,19,45175,,443,214,173,7,306,50.0,87.54,0.0,,50.0,10,8,12.0,30,60
Daniel Gomez,26,Spain,Valencia CF,Forward - Centre Forward,178,70,Right,240,57,12123,7,,,23,2,416,80.0,72.73,,,16.67,2,2,1.2,1,8
Daniel Raba Antoli,29,Spain,Leganés,Forward - Right Wing,184,76,Right,207,31,10950,24,,,46,3,,60.0,72.29,16.67,155,55.56,8,4,2.2,1,13
David Arguelles Alvarez,,Spain,Getafe CF,Defender,,,Left,5,0,116,,3,0,0,0,,,,,,,,,0.05,,0
David de Gea,34,Spain,Fiorentina,Goalkeeper - Goalkeeper,192,76,Right,668,0,59779,,689,227,11,0,,,74.39,,900,0.0,0,0,5.0,13,7
David Lopez,35,Spain,Girona FC,Defender - Centre Back,185,81,,447,29,34845,,426,138,80,3,,0.0,91.46,0.0,,71.43,11,7,2.5,3,22
David Otorbi Ejededawe,17,Spain,Valencia CF,Forward,,,,3,0,30,0,,,0,0,,,,,,,,,,,0
David Soria,31,Spain,Getafe CF,Goalkeeper - Goalkeeper,192,85,Right,329,0,29514,,318,124,20,0,,,51.14,,,0.0,3,0,5.0,2,4
Denis Suarez,30,Spain,Villarreal,Midfielder - Attacking Midfield,176,69,,360,31,21969,44,,,37,0,,0.0,76.19,50.0,,100.0,1,0,1.5,11,14
Diego Conde,26,Spain,Villarreal,Goalkeeper - Goalkeeper,188,76,,97,0,8550,,107,32,3,1,,,77.0,,1170,0.0,2,1,5.0,0,0
Diego Garcia Campos,24,Spain,Leganés,Forward - Centre Forward,186,78,Right,126,36,7904,1,,,7,0,186,60.0,67.57,0.0,,0.0,0,0,2.0,0,2
Diego Llorente,31,Spain,Real Betis,Defender - Centre Back,186,75,Right,383,22,30807,,417,101,86,7,,50.0,86.23,0.0,,100.0,14,21,7.0,6,35
Diego Lopez,22,Spain,Valencia CF,Forward,172,64,,98,19,6197,8,,,7,1,425,60.0,73.81,12.5,850,13.64,6,3,12.0,0,1
Diego Rico,31,Spain,Getafe CF,Defender - Left Back,183,76,Left,373,11,29296,,376,117,82,4,,50.0,67.53,32.88,1167,50.0,36,10,1.5,0,22
Enric Franquesa Dolz,27,Spain,Leganés,Defender - Left Back,174,70,Left,232,12,16172,,155,90,30,1,77,25.0,72.56,12.5,,53.33,18,4,1.5,0,7
Eric Garcia,23,Spain,FC Barcelona,Defender - Centre Back,182,79,,229,11,17494,,227,77,30,3,,66.67,91.32,0.0,438,33.33,9,6,20.0,12,12
Fabian,28,Spain,PSG,Midfielder - Central Midfield,189,70,,394,46,27277,44,,,42,2,528,57.14,93.74,33.33,,66.67,12,6,35.0,8,12
Fabio Gonzalez Estupinan,27,Spain,UD Las Palmas,Midfielder - Central Midfield,176,72,Right,190,1,11808,4,,,46,1,,0.0,84.0,0.0,,0.0,0,0,0.5,0,6
Fermin Lopez,21,Spain,FC Barcelona,Midfielder,,,,84,26,4436,3,,,10,1,,25.0,90.82,40.0,,16.67,6,1,50.0,0,3
Fernando Calero,29,Spain,RCD Espanyol,Defender - Centre Back,184,71,Right,238,8,18805,,225,79,55,2,,,84.16,,,0.0,4,4,1.8,1,22
Ferran Torres,24,Spain,FC Barcelona,Forward - Left Wing,182,77,,327,75,18280,33,,,32,2,334,66.67,78.95,20.0,167,85.71,4,0,30.0,10,12
Fran Garcia,25,Spain,Real Madrid,Defender - Left Back,169,69,Left,234,9,18198,,225,69,16,0,,66.67,92.52,45.45,,40.0,7,3,15.0,6,2
Fran Perez,22,Spain,Valencia CF,Midfielder,176,68,,102,14,5975,4,,,10,0,,0.0,55.56,0.0,,0.0,1,0,6.0,0,1
Gavi,20,Spain,FC Barcelona,Midfielder - Central Midfield,173,70,Right,135,9,9041,12,,,42,2,,,86.21,0.0,,0.0,2,0,90.0,6,12
Gerard Fernandez Castellano,22,Spain,Sevilla FC,Forward - Left Wing,172,67,Right,102,24,5401,6,,,12,0,,66.67,82.73,20.0,,33.33,6,4,5.0,0,3
Gerard Gumbau,29,Spain,Rayo Vallecano,Midfielder - Defensive Midfield,188,77,Left,365,20,25824,26,,,120,5,,60.0,74.1,33.33,432,33.33,10,2,3.0,7,23
Gerard Martin Langreo,,Spain,FC Barcelona,Defender,186,76,Left,22,0,1195,,15,4,3,0,,,,,322,,,,3.0,,0
German Valera Karabinaite,22,Spain,Valencia CF,Forward - Right Wing,170,68,Left,149,13,7858,4,,,9,0,,,72.73,0.0,,50.0,0,2,2.0,0,1
Gorka Guruzeta,28,Spain,Athletic Club Bilbao,Forward - Centre Forward,188,77,Right,274,74,17375,12,,,31,1,236,50.0,77.63,0.0,355,44.44,7,3,18.0,0,5
Gorka Rivera,20,Spain,Getafe CF,Defender,,,,2,0,21,,0,0,0,0,,,,,,,,,,,0
Hector Bellerin,29,Spain,Real Betis,Defender - Right Back,177,74,Right,350,10,27372,,319,126,44,2,,100.0,82.28,30.0,524,75.0,12,6,4.0,15,27
Hector Fort,18,Spain,FC Barcelona,Defender,,,,41,1,2710,,31,11,3,0,,0.0,92.47,50.0,,50.0,3,2,,0,1
Hugo Alvarez,21,Spain,Celta de Vigo,Midfielder,185,,,77,10,5436,5,,,7,0,499,66.67,80.65,16.67,997,41.3,14,6,3.0,0,0
Hugo Duro,25,Spain,Valencia CF,Forward - Centre Forward,177,70,Left,183,41,11354,8,,,24,1,195,44.44,74.8,0.0,779,16.67,7,6,16.0,0,13
Hugo Guillamon,24,Spain,Valencia CF,Midfielder - Defensive Midfield,178,62,,223,6,15652,4,,,70,3,,,78.67,100.0,,0.0,7,5,8.0,3,13
Hugo Sotelo,20,Spain,Celta de Vigo,Midfielder,180,68,,50,1,2577,1,,,8,0,,,,,,,,,2.5,,0
Iago Aspas,37,Spain,Celta de Vigo,Forward - Centre Forward,176,67,,540,214,38723,71,,,118,8,245,57.14,76.64,33.33,327,61.54,9,3,3.0,1,23
Igor Zubeldia,27,Spain,Real Sociedad,Defender - Centre Back,181,79,Right,329,7,25317,,307,114,91,3,,100.0,87.2,,,0.0,10,10,22.0,2,29
Iker Almena,20,Spain,Al Quadisiya,Midfielder,179,,,38,5,2782,3,,,2,0,,0.0,80.77,0.0,46,66.67,0,0,1.0,0,0
Iker Benito,22,Spain,CA Osasuna,Forward,,,,88,9,5296,1,,,9,0,,,81.82,0.0,,0.0,0,1,0.8,0,1
Iker Bravo Solanilla,19,Spain,Udinese,Forward,184,78,,45,12,2491,6,,,9,0,196,33.33,84.91,33.33,196,66.67,3,0,1.5,0,0
Iker Losada Aragunde,23,Spain,Real Betis,Forward,175,70,Right,119,19,7409,8,,,5,0,,33.33,76.7,25.0,,50.0,10,3,1.8,0,0
Iker Munoz,22,Spain,CA Osasuna,Midfielder,180,,,73,5,4331,0,,,12,1,,,71.88,0.0,,100.0,0,1,5.0,0,3
Ilaix Moriba,21,Spain,Celta de Vigo,Midfielder - Central Midfield,185,,,138,7,6830,13,,,32,5,,25.0,88.48,50.0,,50.0,12,3,3.0,2,15
Ilias Akhomach,20,Spain,Villarreal,Forward,173,68,Left,88,9,4896,6,,,12,1,588,42.86,79.88,15.79,,51.43,12,2,15.0,0,1
Inaki Pena,25,Spain,FC Barcelona,Goalkeeper - Goalkeeper,184,78,,92,0,8080,,101,27,9,0,,,87.1,,,0.0,0,0,8.0,5,0
Inigo Lekue,31,Spain,Athletic Club Bilbao,Defender - Right Back,180,70,Right,314,5,20637,,239,101,34,0,,,79.86,0.0,,33.33,4,3,3.0,2,12
Inigo Ruiz de Galarreta,31,Spain,Athletic Club Bilbao,Midfielder - Central Midfield,175,69,Right,381,10,26960,17,,,105,4,,0.0,87.88,30.0,561,100.0,11,2,5.0,4,28
Isaac Romero Bernal,24,Spain,Sevilla FC,Forward,183,70,Right,74,25,5531,6,,,26,4,,41.18,72.9,14.29,447,42.86,3,1,,0,3
Isi Palazon,29,Spain,Rayo Vallecano,Forward - Right Wing,169,71,Left,366,52,23025,22,,,55,3,712,21.43,80.1,31.82,712,47.83,8,3,8.0,0,10
Israel Dominguez Velasco,21,Spain,Sevilla II,Midfielder,,,,39,6,1778,0,,,10,1,90,,,,,,,,,0,0
Ivan Cuellar,40,Spain,RCD Mallorca,Goalkeeper - Goalkeeper,187,76,Left,367,0,32774,,404,118,51,4,,,,,,,,,0.1,0,11
Ivan Martin,25,Spain,Girona FC,Midfielder - Attacking Midfield,178,,Left,195,13,14187,14,,,15,2,776,100.0,91.68,0.0,,58.82,10,5,15.0,0,7
Ivan San Jose Cantalejo,20,Spain,Real Valladolid,Forward,,,Left,10,0,258,1,,,2,0,,,,,,,,,,,0
Ivan Sanchez,32,Spain,Real Valladolid,Forward - Right Wing,169,64,Left,469,40,29852,26,,,63,1,441,66.67,83.22,10.34,441,75.0,12,6,1.0,0,8
Ivan Villar,27,Spain,Celta de Vigo,Goalkeeper - Goalkeeper,186,76,Right,167,0,14773,,215,42,8,2,,,78.43,,,0.0,0,0,1.2,0,5
Jaime Mata,36,Spain,UD Las Palmas,Forward - Centre Forward,186,79,Right,486,154,32665,20,,,136,6,,25.0,73.91,16.67,,66.67,1,1,0.9,0,26
Javi Galan,30,Spain,Atlético Madrid,Defender - Left Back,172,70,Left,304,8,23997,,306,85,67,1,,0.0,82.35,12.5,363,40.0,8,3,5.0,1,11
Javi Hernandez,26,Spain,Leganés,Defender - Left Back,185,72,Left,228,14,18205,,229,62,52,2,,25.0,76.15,4.35,805,80.0,12,9,2.5,3,11
Javi Martinez,36,Spain,Qatar SC,Midfielder - Center Back,192,86,,516,50,37716,15,,,111,7,643,,,,,,,,,28,9
Javier Guerra,21,Spain,Valencia CF,Midfielder,187,79,,64,5,3980,2,,,5,1,,,,,607,,,,20.0,,0
Javier Lopez Carballo,22,Spain,Real Sociedad,Defender - Left Back,184,75,Left,122,1,7301,,90,42,14,1,,0.0,86.74,16.67,,33.33,14,4,7.5,0,9
Javier Manquillo,30,Spain,Celta de Vigo,Defender - Right Back,178,76,Right,268,2,19973,,277,69,34,0,,,89.75,50.0,,0.0,7,5,1.8,5,22
Javier Marton,25,Spain,Athletic Club Bilbao,Forward,181,,,78,21,4024,0,,,12,0,,,87.5,,,0.0,0,0,0.5,0,3
Javier Munoz Jimenez,29,Spain,UD Las Palmas,Midfielder - Central Midfield,175,69,Right,355,23,24461,19,,,70,3,,50.0,80.59,33.33,821,63.64,18,9,3.0,1,15
Javier Rodriguez Galiano,21,Spain,Celta de Vigo,Defender,,,,22,1,1156,,15,5,6,1,60,,,,779,,,,3.0,,0
Javier Sanchez de Felipe,27,Spain,Real Valladolid,Defender - Centre Back,189,71,,188,12,14365,,179,58,54,2,,0.0,85.38,,,0.0,7,5,,1,18
Jesus Areso,25,Spain,CA Osasuna,Defender - Right Back,182,81,Right,170,1,12233,,143,58,20,1,,0.0,76.51,25.93,,52.63,20,4,7.5,0,2
Jesus Santiago,20,Spain,Getafe CF,Midfielder,,,,31,2,1347,0,,,8,0,,,,,,,,,,,0
Jesus Vallejo,27,Spain,Real Madrid,Defender - Centre Back,184,79,Right,190,3,13575,,167,61,31,3,,,85.71,,,0.0,0,0,1.0,10,25
Jesus Vazquez,21,Spain,Valencia CF,Defender - Left Back,182,,Left,85,2,4745,,60,24,9,0,,50.0,73.12,14.29,,47.37,16,5,4.0,0,4
Joan Garcia,23,Spain,RCD Espanyol,Goalkeeper - Goalkeeper,191,77,Right,52,0,4563,,60,16,3,0,,100.0,64.56,,,0.0,0,0,10.0,1,2
Joan Jordan,30,Spain,Deportivo Alavés,Midfielder - Central Midfield,185,74,Right,421,33,29869,23,,,95,4,,33.33,74.4,7.69,326,66.67,11,2,3.5,1,21
Jofre Carreras Pages,23,Spain,RCD Espanyol,Forward - Right Wing,175,68,Right,114,12,5303,8,,,12,1,432,55.56,74.39,30.77,288,37.5,7,7,2.5,1,4
John Patrick,21,Spain,Getafe CF,Midfielder,,,,73,2,2910,0,,,13,2,,,71.43,,,100.0,0,0,,0,0
Jon Guridi,29,Spain,Deportivo Alavés,Midfielder - Central Midfield,179,64,Right,277,21,18467,10,,,26,0,382,33.33,80.71,66.67,,50.0,10,6,5.0,2,14
Jon Magunacelaya,23,Spain,Real Sociedad,Midfielder,,,,86,11,4669,1,,,13,0,,,53.85,,,0.0,1,0,1.0,0,0
Jon Martin Vicente,18,Spain,Real Sociedad,Defender,,,,24,4,1970,,22,9,3,0,,0.0,66.67,,,0.0,0,1,,0,0
