name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Arne Engels,21,Belgium,Celtic,Midfielder - Central Midfield,185,71,,127,12,7967,23,,,21,1,274,25.0,83.54,14.89,,80.0,5,1,11.0,1,4
Arthur Theate,24,Belgium,Eintracht Frankfurt,Defender - Centre Back,185,81,Left,180,15,15146,,201,44,34,3,,16.67,83.2,0.0,,100.0,10,12,20.0,0,5
Arthur Vermeeren,19,Belgium,RB Leipzig,Midfielder,,,,92,4,6977,8,,,10,0,,,85.66,0.0,,66.67,14,6,25.0,3,0
Axel Witsel,35,Belgium,Atlético Madrid,Midfielder - Defensive Midfield,186,73,Right,561,48,45615,21,,,84,3,,,89.32,,618,100.0,7,4,3.5,11,12
Bilal El Khannous,20,Belgium,Leicester City,Midfielder,180,70,,131,6,8684,18,,,17,1,,,73.17,33.33,69,0.0,2,0,30.0,0,2
Charles De Ketelaere,23,Belgium,Atalanta,Midfielder - Attacking Midfield,192,74,,255,49,15481,37,,,15,0,403,53.33,81.06,16.67,161,40.54,4,0,34.0,7,4
Christian Kabasele,33,Belgium,Udinese,Defender - Centre Back,188,84,Right,259,15,19947,,265,80,37,5,59,27.27,85.67,0.0,,100.0,9,6,1.0,3,16
Cyril Ngonge,24,Belgium,Napoli,Forward - Right Wing,177,,,163,42,9458,13,,,24,1,,83.33,88.24,25.0,,55.56,2,0,12.0,1,8
Dodi Lukebakio,27,Belgium,Sevilla FC,Midfielder - Right Wing,187,77,,278,63,16443,29,,,36,1,219,50.0,80.2,27.03,,47.46,6,1,12.0,0,9
Eliot Matazo,22,Belgium,Monaco,Midfielder - Central Midfield,170,70,Right,110,3,4858,2,,,14,1,,,83.33,,,0.0,0,0,5.0,0,6
Ibrahim Salah,23,Belgium,Brest,Forward,185,,Right,85,16,2935,3,,,7,0,300,33.33,75.56,30.77,300,40.91,2,1,4.0,0,0
Ignace Van Der Brempt,22,Belgium,Como,Defender,,,,113,5,6442,,98,36,20,1,,33.33,84.27,0.0,,80.0,13,6,3.0,3,4
Jeremy Doku,22,Belgium,Manchester City,Forward - Right Wing,173,66,Right,208,29,11602,31,,,14,2,407,50.0,86.29,20.0,407,61.76,9,0,65.0,2,19
Joel Schingtienne,22,Belgium,Venezia,Defender,188,,Right,65,2,5451,,84,16,8,0,,,96.55,,,0.0,4,0,2.0,0,1
Julien Duranville,18,Belgium,Borussia Dortmund,Forward,,,,7,1,155,0,,,0,0,31,100.0,63.64,,,40.0,2,0,,0,6
Kevin De Bruyne,33,Belgium,Manchester City,Midfielder - Attacking Midfield,181,68,Right,585,154,45275,239,,,59,1,390,27.27,83.95,30.0,390,50.0,2,2,45.0,24,31
Koni De Winter,22,Belgium,Genoa,Defender - Centre Back,188,,Right,82,3,6399,,75,25,23,2,42,60.0,85.67,50.0,,50.0,12,7,12.0,2,8
Leandro Trossard,29,Belgium,Arsenal,Forward - Left Wing,172,61,Right,385,97,24515,47,,,17,1,337,50.0,75.44,20.0,,35.71,10,5,35.0,6,15
Lucas Frederic Stassin,19,Belgium,Saint-Étienne,Forward,,,,72,26,4651,11,,,10,0,,,,,122,,,,6.0,,0
Maarten Vandevoordt,22,Belgium,RB Leipzig,Goalkeeper - Goalkeeper,189,81,Right,178,0,15928,,209,44,4,0,,,81.82,,,0.0,0,0,8.0,3,0
Malick Fofana,19,Belgium,Olympique Lyonnais,Forward,169,61,Left,115,18,5793,11,,,2,0,208,70.0,81.28,27.59,623,56.52,7,2,15.0,0,1
Mandela Keita,22,Belgium,Parma,Midfielder,,,,111,1,6976,6,,,17,2,,0.0,93.52,,,50.0,5,4,13.0,2,7
Matias Fernandez Pardo,19,Belgium,Lille,Forward,183,,Right,55,12,3615,3,,,5,0,164,,,,,,,,,0,2
Matz Sels,32,Belgium,Nottingham Forest,Goalkeeper - Goalkeeper,188,75,Right,306,0,27496,,372,79,12,0,,,49.64,,,0.0,1,0,7.0,6,4
Ngalayel Mukau,20,Belgium,KV Mechelen,Midfielder,,,,4,0,180,0,,,0,0,,,,,,,,,,0,1
Olivier Deman,24,Belgium,Werder Bremen,Midfielder - Attacking Midfield,181,,,128,6,7633,7,,,28,2,,,75.0,20.0,,0.0,3,0,4.0,0,7
Orel Mangala,26,Belgium,Everton,Midfielder - Central Midfield,178,78,Right,281,12,19715,13,,,53,5,,,93.1,100.0,,0.0,0,0,20.0,1,9
Romelu Lukaku,31,Belgium,Napoli,Forward - Centre Forward,190,94,,623,306,45908,83,,,51,2,181,66.67,69.85,,181,30.0,1,0,30.0,10,30
Romeo Lavia,20,Belgium,Chelsea,Midfielder - Defensive Midfield,181,76,,107,3,8260,6,,,26,1,,,92.82,,350,83.33,12,7,35.0,6,12
Sebastiaan Bornauw,25,Belgium,Wolfsburg,Defender - Centre Back,191,82,,185,13,14713,,256,43,43,3,45,33.33,78.64,,,0.0,7,9,7.0,0,12
Sebastiao Sagrado,20,Belgium,Venezia,Defender,,,,22,0,1929,,32,3,2,0,,100.0,66.67,0.0,,66.67,0,0,,0,7
Selim Amallah,28,Belgium,Real Valladolid,Midfielder - Attacking Midfield,186,70,,228,46,14291,21,,,62,5,337,42.86,80.86,33.33,673,61.54,12,7,1.5,0,11
Senne Lynen,25,Belgium,Werder Bremen,Midfielder - Central Midfield,185,80,Right,204,9,13833,17,,,34,1,,33.33,84.05,0.0,,50.0,19,16,7.0,1,3
Stanis Idumbo Muzambo,19,Belgium,Sevilla FC,Midfielder,,,,42,9,2236,4,,,1,0,116,100.0,80.0,,,66.67,4,2,0.8,0,1
Thibault De Smet,26,Belgium,Reims,Defender - Left Back,183,,,128,2,8764,,145,30,32,5,,,100.0,,,0.0,0,1,3.0,0,9
Thibaut Courtois,32,Belgium,Real Madrid,Goalkeeper - Goalkeeper,200,96,Left,614,0,54810,,517,258,23,3,,,81.74,,,0.0,0,1,25.0,22,18
Thomas Meunier,33,Belgium,Lille,Defender - Right Back,191,82,Right,353,27,26104,,273,150,58,0,119,42.86,80.74,8.33,,100.0,12,11,2.5,14,29
Timothy Castagne,28,Belgium,Fulham,Defender - Right Back,185,80,Right,343,19,26934,,349,100,30,1,,100.0,86.36,0.0,,0.0,3,0,17.0,2,10
Wout Faes,26,Belgium,Leicester City,Defender - Centre Back,187,84,Right,298,10,26075,,373,75,54,4,54,20.0,87.41,0.0,,100.0,17,6,20.0,0,11
Youri Tielemans,27,Belgium,Aston Villa,Midfielder - Central Midfield,177,72,Both,477,69,36160,64,,,60,0,,33.33,86.55,28.3,266,60.0,25,11,30.0,6,18
Cedric Hountondji,30,Benin,Angers SCO,Defender - Centre Back,194,85,Right,298,5,25561,,357,86,39,2,,,84.47,,,0.0,6,4,1.8,0,9
Steve Mounie,30,Benin,Augsburg,Forward - Centre Forward,190,83,Right,359,92,24380,19,,,34,3,,57.14,62.96,0.0,,25.0,2,0,4.5,0,12
Ermedin Demirovic,26,Bosnia and Herzegovina,Stuttgart,Forward - Centre Forward,185,76,,301,93,18620,37,,,66,3,124,73.33,69.23,,,28.57,4,0,28.0,0,6
Milan Duric,34,Bosnia and Herzegovina,Monza,Forward - Centre Forward,198,94,Right,477,94,29973,19,,,78,3,230,45.45,50.0,,919,100.0,1,1,1.5,1,1
Nikola Vasilj,28,Bosnia and Herzegovina,St. Pauli,Goalkeeper - Goalkeeper,193,85,Right,174,0,15294,,197,56,7,1,,,68.88,,,100.0,0,0,2.0,3,0
Sead Kolasinac,31,Bosnia and Herzegovina,Atalanta,Defender - Left Back,183,85,Left,418,17,29845,,386,127,72,0,,25.0,90.82,0.0,,50.0,10,9,10.0,5,30
Adryelson Shawann Lima Silva,26,Brazil,Olympique Lyonnais,Defender - Centre Back,181,74,,206,8,17376,,187,77,30,2,,,33.33,,,0.0,0,1,4.0,2,0
Alexsandro Ribeiro,25,Brazil,Lille,Defender - Centre Back,189,82,,130,8,10587,,99,50,30,3,,0.0,90.0,0.0,900,0.0,11,11,8.0,0,8
Alisson Becker,32,Brazil,Liverpool,Goalkeeper - Goalkeeper,193,91,Right,415,1,37141,,349,183,12,1,,,81.63,,,0.0,0,0,28.0,13,15
Andre,23,Brazil,Wolverhampton Wanderers,Midfielder,,,,96,3,7172,2,,,22,1,,,,,,,,,25.0,,0
Andreas Pereira,28,Brazil,Fulham,Midfielder - Attacking Midfield,178,71,Right,334,31,20112,34,,,68,2,904,42.86,77.53,34.62,,50.0,6,2,20.0,3,10
Andrey Santos,20,Brazil,Strasbourg,Midfielder,176,72,,93,23,7455,1,,,23,1,193,58.33,87.42,,,58.33,36,9,18.0,0,2
Antony Matheus,24,Brazil,Manchester United,Forward - Right Wing,172,63,Left,245,45,16112,34,,,34,2,,50.0,62.5,0.0,,0.0,2,1,20.0,8,13
Arthur Augusto,21,Brazil,Bayer Leverkusen,Defender - Right Back,174,70,Right,46,0,2731,,23,19,10,0,,,100.0,,,0.0,0,1,5.0,0,1
Brenner,24,Brazil,Udinese,Forward,,,,169,55,10543,13,,,18,1,386,80.0,81.32,30.0,193,75.0,6,1,8.5,0,2
Bruno Guimaraes,27,Brazil,Newcastle United,Midfielder - Defensive Midfield,182,74,Right,312,29,22243,34,,,65,1,,40.0,82.63,40.0,1066,80.0,26,12,85.0,6,15
Caio Henrique,27,Brazil,Monaco,Defender - Left Back,178,69,Left,249,4,19588,,227,76,21,1,,50.0,84.3,20.0,585,83.33,12,4,20.0,3,5
Carlos Augusto,25,Brazil,Inter Milan,Defender - Left Back,184,78,Left,199,14,14792,,143,86,19,2,,0.0,95.33,0.0,,0.0,3,1,22.0,2,2
Casemiro,32,Brazil,Manchester United,Midfielder - Defensive Midfield,185,84,Right,520,56,39897,35,,,151,5,681,33.33,82.88,30.77,,50.0,31,6,15.0,23,34
